============================================================
  万象影视 - 可用 Apple CMS 影视源列表
  来源: https://cdn.45678888.xyz/fx/  (共87个接口)
  检测时间: 2026-07-03 20:28:51
============================================================

共发现 279 个独立的 Apple CMS 源

使用方法:
1. 打开 App → 影视设置 → 资源列表
2. 点击添加 → 输入名称和 URL
3. 或者保存为 TXT 文件批量导入

TXT 批量导入格式 (每行: name,url):
[Live] 南风直播源,https://gh-proxy.com/https://raw.githubusercontent.com/yoursmile66/TVBox/main/live.txt
[Live] LIVEfl,https://gh-proxy.com/https://raw.githubusercontent.com/zeee-u/lzh06/main/fl.m3u
[Live] Guovin（卡顿请按左┃右键换线）,https://gh.cswklt.top/https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/result.txt
[Live] 一木,https://gh.cswklt.top/https://raw.githubusercontent.com/xianyuyimu/TVBOX-/main/TVBox/%E4%B8%80%E6%9C%A8%E7%9B%B4%E6%92%AD%E6%BA%90.txt
[Live] 直播,https://gh.cswklt.top/https://raw.githubusercontent.com/zwc456baby/iptv_alive/master/live.txt
[Live] vbskycn(ipv4),https://gh.cswklt.top/raw.githubusercontent.com/vbskycn/iptv/refs/heads/master/tv/iptv4.txt
[Live] vbskycn(ipv6),https://gh.cswklt.top/raw.githubusercontent.com/vbskycn/iptv/refs/heads/master/tv/iptv6.txt
[Live] develop202,https://gh.llkk.cc/http://raw.githubusercontent.com/develop202/migu_video/refs/heads/main/interface.txt
[Live] 16万•MV,https://gh.tryxd.cn/raw.githubusercontent.com/lystv/short/main/影视/tvb/MTV.txt
[Live] Kimentanm,https://ghfast.top/https://raw.githubusercontent.com/Kimentanm/aptv/master/m3u/iptv.m3u
[Live] 综合直播,https://ghfast.top/https://raw.githubusercontent.com/develop202/migu_video/refs/heads/main/interface.txt
[Live] IPV4,https://ghp.ci/raw.githubusercontent.com/MemoryCollection/IPTV/refs/heads/main/itvlist.txt
[Live] IPV6①,https://ghp.ci/raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u
[Live] IPV6②,https://ghp.ci/raw.githubusercontent.com/wwb521/live/refs/heads/main/tv.m3u
[Live] V4聚合（卡顿请按左┃右键换线）,https://github.moeyy.xyz/https://raw.githubusercontent.com/wwb521/live/main/tv.m3u
海外看,https://haiwaikan.com/api.php/provide/vod
豪华|点播,https://hhzyapi.com/api.php/provide/vod
火狐|点播,https://hhzyapi.com/api.php/provide/vod/
华为吧|点播,https://hw8.live/api.php/provide/vod/
🍈考拉资源(官),https://ikaola.tv/api.php/provide/vod/
iKun资源,https://ikunzyapi.com/api.php/provide/vod
ikun|点播,https://ikunzyapi.com/api.php/provide/vod/
iKun资源,https://ikunzyapi.com/api.php/provide/vod/?ac=list
IK,https://ikunzyapi.com/api.php/provide/vod/from/ikm3u8/
爱奇艺资源,https://iqiyizyapi.com/api.php/provide/vod/
小黄人|点播,https://iqyi.xiaohuangrentv.com/api.php/provide/vod/
金鹰|点播,https://jinyingzy.com/api.php/provide/vod/
黑木耳|点播,https://json02.heimuer.xyz/api.php/provide/vod/
极速|点播,https://jszyapi.com/api.php/provide/vod
极速,https://jszyapi.com/api.php/provide/vod/
影视 | 极速[直连],https://jszyapi.com/api.php/provide/vod/?ac=list
极速资源,https://jszyapi.com/api.php/provide/vod/at/json
金鹰资源,https://jyzyapi.com/provide/vod/
🐝金鹰资源,https://jyzyapi.com/provide/vod/at/xml
成人51,https://kkzy.me/api.php/provide/vod/
快看资源,https://kuaikan-api.com/api.php/provide/vod/from/kuaikanyun
快云资源,https://kuaiyun-api.com/api.php/provide/vod/
🔞乐播资源,https://lbapi9.com/api.php/provide/vod/
🔞乐播,https://lbapi9.com/api.php/provide/vod/at/xml/
乐视,https://leshizyapi.com/api.php/provide/vod/at/json/
[Live] live.ipv6.m3u,https://live.fanmingming.com/tv/m3u/ipv6.m3u
[Live] 体育频道IPV4,https://live.hacks.tools/tv/ipv4/categories/体育频道.m3u
[Live] 儿童频道IPV4,https://live.hacks.tools/tv/ipv4/categories/儿童频道.m3u
[Live] 其他频道IPV4,https://live.hacks.tools/tv/ipv4/categories/其他频道.m3u
[Live] 卫视频道IPV4,https://live.hacks.tools/tv/ipv4/categories/卫视频道.m3u
[Live] 地方频道IPV4,https://live.hacks.tools/tv/ipv4/categories/地方频道.m3u
[Live] 央视频道IPV4,https://live.hacks.tools/tv/ipv4/categories/央视频道.m3u
[Live] 电影频道IPV4,https://live.hacks.tools/tv/ipv4/categories/电影频道.m3u
[Live] 体育频道ipv6,https://live.hacks.tools/tv/ipv6/categories/体育频道.m3u
[Live] 儿童频道ipv6,https://live.hacks.tools/tv/ipv6/categories/儿童频道.m3u
[Live] 其他频道ipv6,https://live.hacks.tools/tv/ipv6/categories/其他频道.m3u
[Live] 卫视频道ipv6,https://live.hacks.tools/tv/ipv6/categories/卫视频道.m3u
[Live] 地方频道ipv6,https://live.hacks.tools/tv/ipv6/categories/地方频道.m3u
[Live] 央视频道ipv6,https://live.hacks.tools/tv/ipv6/categories/央视频道.m3u
[Live] 电影频道ipv6,https://live.hacks.tools/tv/ipv6/categories/电影频道.m3u
快龙影视,https://lz.118318.xyz/api.php/provide/vod/at/xml
樱花|点播,https://m3u8.apiyhzy.com/api.php/provide/vod/
🐝飞速采集,https://m3u8.feisuzyapi.com/api.php/provide/vod/
[Live] Json,https://mirror.ghproxy.com/https://raw.githubusercontent.com/FongMi/CatVodSpider/main/json/live.json
[Live] live.fan,https://mirror.ghproxy.com/raw.githubusercontent.com/dxawi/0/main/tvlive.txt
🈚私人影视,https://mov.cswklt.top/api.php/provide/vod/
电视┃MTV,https://mv.wogg.link/mv/vod
🍒木子看剧(官),https://mzkj.maccms.cf/api.php/provide/vod/
[Live] 范明明（需开启V6网络）,https://nos.netease.com/ysf/3d75a78a0fc7ede372c03598d6d10367.m3u
OK|点播,https://okzyw9.com/api.php/provide/vod/
飘零电影,https://p2100.net/api.php/provide/vod
飘零|点播,https://p2100.net/api.php/provide/vod/
四个圈,https://pg.fenwe078.cf/api.php/provide/vod/
[Live] LIVE_Gather,https://raw.githubusercontent.com/YanG-1989/m3u/refs/heads/main/Gather.m3u
[Live] LIVE_home,https://raw.githubusercontent.com/joevess/IPTV/refs/heads/main/home.m3u8
闪电资源,https://sdzyapi.com/api.php/provide/vod/
🔞鲨鱼影视,https://shayuapi.com/api.php/Seacms/vod/at/xml/
[Live] B站直播,https://sub.ottiptv.cc/bililive.m3u
[Live] 斗鱼一起看,https://sub.ottiptv.cc/douyuyqk.m3u
[Live] 虎牙一起看,https://sub.ottiptv.cc/huyayqk.m3u
[Live] YY轮播,https://sub.ottiptv.cc/yylunbo.m3u
速博|点播,https://subocaiji.com/api.php/provide/vod/
索尼,https://suoniapi.com/api.php/provide/vod
索尼,https://suoniapi.com/api.php/provide/vod/
影视 | 率率[直连],https://suoniapi.com/api.php/provide/vod/?ac=list
影视 | 索尼[直连],https://suoniapi.com/api.php/provide/vod/at/xml/
✅索尼┃影视,https://suoniapi.com/api.php/provide/vod/from/snm3u8/
🍀┃豆瓣精选,https://t4.secan.icu/vod?sites=all&ali_token=0c55c9f1c5cb4327ae2e51423276bb1e
淘片资源采集网,https://taopianapi.com/cjapi/mc10/vod/json.html
[Live] 佛系收集(EXO),https://tv.iill.top/m3u/Gather
[Live] 毒盒live,https://tv.youdu.fan:666/live/live.txt
天涯资源,https://tyyszy.com/api.php/provide/vod/?ac=list
天涯资源,https://tyyszyapi.com/api.php/provide/vod/
天涯资源,https://tyyszyapi.com/api.php/provide/vod/at/?ac=list
[Live] 24live,https://urlzf.zone.id/iptv-api/output/user_result.m3u
timizy,https://vipcj.timizy.top/api.php/provide/vod/
影视 | 小绵阳,https://vs.okcdn100.top/api.php/provide/vod
卧龙资源,https://wolongzyw.com/api.php/provide/vod/?ac=list
🐝39影视,https://www.39kan.com/api.php/provide/vod/
小湿妹资源(已修复),https://www.afasu.com/api/xml.php
🍊多多资源(优),https://www.ddzyz1.com/api.php/provide/vod/
飞速资源,https://www.feisuzy.com/api.php/provide/vod/
飞速资源,https://www.feisuzyapi.com/api.php/provide/vod/
香奶儿资源(已修复),https://www.gdlsp.com/api/xml.php
✅红牛┃资源,https://www.hongniuzy2.com/api.php/provide/vod/
红牛资源,https://www.hongniuzy2.com/api.php/provide/vod/at/josn/
虎牙,https://www.huyaapi.com/api.php/provide/vod
虎牙|点播,https://www.huyaapi.com/api.php/provide/vod/
虎牙,https://www.huyaapi.com/api.php/provide/vod/?ac=list
虎牙资源,https://www.huyaapi.com/api.php/provide/vod/at/json
映迷影视,https://www.inmi.app/api.php/provide/vod/
白嫖资源(已修复),https://www.kxgav.com/api/xml.php
艾旦影视,https://www.lovedan.net/api.php/provide/vod/
🍹MBO 影视(聚),https://www.mbomovie.com/api.php/provide/vod/at/xml/
墨斗|点播,https://www.mdzyapi.com/api.php/provide/vod/
魔都资源,https://www.mdzyapi.com/api.php/provide/vod/?ac=list
美少女资源(已修复),https://www.msnii.com/api/xml.php
黄AV资源(已修复),https://www.pgxdy.com/api/xml.php
花旗资源,https://www.seacms.org/api.php/provide/vod/?ac=list
淘片资源,https://www.taopianzy.com/cjapi/mc/vod/json
无忧影视,https://www.wyvod.com/api.php/provide/vod/
香蕉资源,https://www.xiangjiaozyw.com/api.php/provide/vod/at/xml/
成人66,https://www.xrbsp.com/api/xml.php
🍇M3U8资源(官),https://www.zycaiji.net:7788/api.php/provide/vod/
📺PPTV（官）,https://www.zycaiji.net:7788/api.php/provide/vod/from/pptv/at/xml/
👑优酷（官）,https://www.zycaiji.net:7788/api.php/provide/vod/from/youku/at/xml/
旺旺短剧,https://wwzy.tv/api.php/provide/vod/?ac=list
杏吧资源,https://xingba222.com/api.php/provide/vod/at/xml
享看资源,https://xkanzy.com/api.php/provide/vod/
🐼闪电资源网,https://xsd.sdzyapi.com/api.php/provide/vod/
闪电资源,https://xsd.sdzyapi.com/api.php/provide/vod/?ac=list
A站｜星源,https://xy.183933.xyz/php/acfun.php/provide/vod
酷我｜音乐,https://xy.183933.xyz/php/kuwo.php/provide/vod
小乐｜星源,https://xy.183933.xyz/php/ls.php/vod
咪咕｜音乐,https://xy.183933.xyz/php/miguyy.php/provide/vod
移动｜星源,https://xy.183933.xyz/php/pt.php/provide/vod/
小咕｜星源,https://xy.183933.xyz/php/咪咕.php
幸资源,https://xzybb1.com/api.php/provide/vod/at/xml
🍳┃咪酷┃影视,https://yingke.yibowang.asia/api.php/provide/vod
鱼乐资源,https://ylzy11.com/api.php/provide/vod/
宝片|点播,https://zpsps.com/api.php/provide/vod/
🦆北雁资源,https://zy.beiyan.cc:4433/api.php/provide/vod/
影视 | 金蝉,https://zy.jinchancaiji.com/api.php/provide/vod
789采集,https://zy.jinchancaiji.com/api.php/provide/vod/


============================================================
  详细来源列表
============================================================

  1. [左岸]
     http://103.97.176.128:9528/api.php/provide/vod/

  2. [[Live] 驸马影视•港澳台]
     http://110.185.171.226:93/dsch/gat.txt

  3. [🍳江湖官采(官)]
     http://119.29.1.173/api.php/provide/vod/

  4. [AI1]
     http://124.222.116.5/macos/seven/api.php/provide/vod/

  5. [[Live] 牛播一(新版影视仓/ok影视)]
     http://127.0.0.1:9978/proxy?do=饭太硬&type=liveList

  6. [影视 | 建安]
     http://154.219.117.232:9981/jacloudapi.php/provide/vod

  7. [业余自营]
     http://154.3.2.163/api.php/provide/vod/

  8. [[Live] live]
     http://23.224.143.163:2202/vip/ku9.txt

  9. [🥒土狗 360(官)]
     http://360.tgzy.cc/api.php/provide/vod/

 10. [🥭西柚影视(优)]
     http://43.135.75.180:9999/api.php/provide/vod/

 11. [🍌每天看看(优)]
     http://47.113.126.237:1234/api.php/provide/vod/

 12. [[Live] 平台直播]
     http://47.120.41.246:8025/vip/jar/zb.php

 13. [🌭MX 影院(聚)]
     http://49.235.107.145:81/api.php/provide/vod/

 14. [🥤阿里影视(聚)]
     http://aliys.cn:90/api.php/provide/vod/

 15. [忆梦资源、🥕忆梦资源(官)]
     http://anltv.cn/api.php/provide/vod/

 16. [1080zyku]
     http://api.1080zyku.com/inc/api_mac10.php

 17. [非凡资源]
     http://api.ffzyapi.com/api.php/provide/vod/?ac=list

 18. [🎀光速┃采集]
     http://api.guangsuapi.com/api.php/provide/vod/

 19. [海外看[翻墙]]
     http://api.haiwaikan.com/v1/vod

 20. [新浪资源、🐝新浪资源]
     http://api.xinlangapi.com/xinlangapi.php/provide/vod/

 21. [影视 | 电影天堂]
     http://caiji.dyttzyapi.com/api.php/provide/vod

 22. [电影天堂、电影天堂2]
     http://caiji.dyttzyapi.com/api.php/provide/vod/?ac=list

 23. [电影天堂]
     http://caiji.dyttzyapi.com/api.php/provide/vod/at/xml/

 24. [🍑诺讯资源(官)]
     http://caiji.nxflv.com/api.php/provide/vod/

 25. [🍟雨哥影视(聚)]
     http://cj.baozi66.top:66/api.php/provide/vod/

 26. [✅非凡┃影视]
     http://cj.ffzyapi.com//api.php/provide/vod

 27. [非凡、非凡|点播]
     http://cj.ffzyapi.com/api.php/provide/vod/

 28. [🍭非凡┃采集]
     http://cj.ffzyapi.com/api.php/provide/vod/at/xml/

 29. [非凡资源]
     http://cj.ffzyapi.com/api.php/provide/vod/from/ffm3u8/

 30. [🐝量子资源、🥑量子资源]
     http://cj.lziapi.com/api.php/provide/vod/

 31. [影视 | 非凡[直连]]
     http://ffzy.tv/api.php/provide/vod/

 32. [非凡影视]
     http://ffzy5.tv/api.php/provide/vod/?ac=list

 33. [🔞番号资源]
     http://fhapi9.com/api.php/provide/vod/

 34. [🐝飞速资源]
     http://fszy1.com/api.php/provide/vod/

 35. [[Live] TXT、[Live] 第三方源|不保存可用]
     http://home.jundie.top:81/Cat/tv/live.txt

 36. [AIvin]
     http://lbapiby.com/api.php/provide/vod/at/xml

 37. [🍧铭轩影视(聚)]
     http://lz0716.com/api.php/provide/vod/

 38. [(18+)JAV名优]
     http://mygzycj.com/api.php?ac=list

 39. [[Live] 极直播电视(php)]
     http://php.cqshushu.ggff.net/jzb.php?公众号【医工学习日志】

 40. [[Live] 88KQ]
     http://php.cqshushu.ggff.net/kqt.php?公众号【医工学习日志】

 41. [[Live] 港澳台、[Live] 猫TV线路(EXO)、[Live] 猫TV线路(IJK)]
     http://rihou.cc:567/gggg.nzk

 42. [快鹰资源]
     http://savviuux.hk3.345888.xyz.cdn.cloudflare.net/api.php/provide/vod/

 43. [闪电|点播]
     http://sdzyapi.com/api.php/provide/vod/

 44. [速播]
     http://suboziyuan.net/api.php/provide/vod/

 45. [🥗天天影视(聚)]
     http://tttv.cf/api.php/provide/vod/

 46. [[Live] 平台直播]
     http://tv.iill.top/m3u/Live

 47. [🍬海玉影视(聚)]
     http://tv2.hykjtv.cn/api.php/provide/vod/

 48. [🥑盘看影视(聚)]
     http://tvcaiji.pankk.cn/api.php/provide/vod/

 49. [影视 | 天涯]
     http://tyyszy.com/api.php/provide/vod

 50. [🥫幻风影视(聚)]
     http://vip857.top/api.php/provide/vod/

 51. [🌶天堂资源(官)]
     http://vipmv.cc/api.php/provide/vod/

 52. [飘花|点播]
     http://www.ahjiuman.com/api.php/provide/vod/at/json

 53. [腐剧|点播]
     http://www.fuju2024.cc:8013/ruifenglb_api.php/provide/vod/

 54. [量子资源]
     http://www.lzzy.tv/api.php/provide/vod/

 55. [🍱千寻时光(聚)]
     http://wy.dqyhg.cn/api.php/provide/vod/

 56. [🍠波比影视(优)]
     http://xxhhsc.top/api.php/provide/vod/

 57. [🍚小鸟动漫(聚)]
     http://xydm.baicai.buzz/api.php/provide/vod/

 58. [🍨百淘影视(聚)]
     http://ys.58g8.com/api.php/provide/vod/

 59. [最大|点播]
     http://zuidazy.me/api.php/provide/vod/

 60. [[Live] live.feimao]
     http://我不是.肥猫.live/TV/tvzb.txt

 61. [✅360┃资源]
     https://360zy.com/api.php/provide/vod

 62. [360资源]
     https://360zy.com/api.php/provide/vod/?ac=list

 63. [🦚360┃采集]
     https://360zy.com/api.php/provide/vod?

 64. [49资源网]
     https://49zyw.com/api.php/provide/vod/

 65. [91精品]
     https://91jpzyw.com/api.php/provide/vod/at/json

 66. [*91麻豆]
     https://91md.me/api.php/provide/vod/

 67. [🥬多多资源2(优)]
     https://a.7dyu.cn/api.php/provide/vod/

 68. [[Live] 直播]
     https://agit.ai/Yoursmile7/TVBox/raw/branch/master/live.txt

 69. [🐝麻花资源]
     https://api.1080zyku.com/inc/api_mac10.php

 70. [优质资源网]
     https://api.1080zyku.com/inc/apijson.php

 71. [百度云资源、🐝百度资源]
     https://api.apibdzy.com/api.php/provide/vod/

 72. [百度资源、索尼资源]
     https://api.apibdzy.com/api.php/provide/vod/?ac=list

 73. [百度]
     https://api.apibdzy.com/api.php/provide/vod?ac=list

 74. [成人71]
     https://api.apilyzy.com/api.php/provide/vod/

 75. [🔞花椒资源]
     https://api.apilyzy.com/api.php/provide/vod/at/xml/

 76. [光速资源、🐝光速资源]
     https://api.guangsuapi.com/api.php/provide/vod/

 77. [爱狗]
     https://api.i2g.cn/api.php/provide/vod/

 78. [快帆]
     https://api.kuaifan.tv/api.php/provide/vod

 79. [猫眼]
     https://api.maoyanapi.top/api.php/provide/vod

 80. [牛牛|点播、牛牛资源]
     https://api.niuniuzy.me/api.php/provide/vod/

 81. [🐝ok资源]
     https://api.okzy.org/api.php/provide/vod/

 82. [*色南国资源]
     https://api.sexnguon.com/api.php/provide/vod/

 83. [天空资源、🐝天空资源]
     https://api.tiankongapi.com/api.php/provide/vod/

 84. [U酷|点播、U酷资源、🐝U酷 资源]
     https://api.ukuapi.com/api.php/provide/vod/

 85. [影视 | 尤酷[直连]]
     https://api.ukuapi.com/api.php/provide/vod/?ac=list

 86. [U酷资源、樱花资源]
     https://api.ukuapi88.com/api.php/provide/vod/?ac=list

 87. [无尽|点播、🐝无尽资源]
